transcript	 5' splice site hits	 5' splice sites 	 3' splice site hits 	 3' splice sites 	 new peaks 
CNAG_01093T0	0	3	0	3	2
CNAG_02751T0	8	9	7	9	7
CNAG_00453T0	4	5	3	5	10
CNAG_06388T0	2	3	2	3	2
CNAG_06400T0	6	7	5	7	9
CNAG_02129T0	7	8	5	8	10
CNAG_05874T0	5	7	5	7	2
CNAG_02986T0	6	7	6	7	7
CNAG_01577T0	7	9	6	9	10
CNAG_06207T0	2	3	2	3	7
CNAG_01558T0	5	6	5	6	18
CNAG_06150T0	6	7	6	7	19
CNAG_01984T0	5	7	5	7	2
CNAG_00407T0	7	8	7	8	19
CNAG_04659T0	8	9	7	9	29
CNAG_05251T0	3	4	2	4	8
CNAG_06699T0	11	12	11	12	20
CNAG_03143T0	2	3	2	3	4
CNAG_00162T0	4	5	4	5	19
CNAG_06923T0	4	5	4	5	18
CNAG_03438T0	5	6	5	6	24
CNAG_02542T0	3	4	3	4	13
CNAG_05199T0	7	8	7	8	8
CNAG_00848T2	8	11	8	11	26
CNAG_00848T0	8	11	8	11	26
CNAG_00848T1	8	11	8	11	26
CNAG_06164T0	0	6	0	6	15
CNAG_06125T0	7	8	7	8	32
CNAG_07745T0	3	4	3	4	15
CNAG_06770T0	7	9	7	9	17
CNAG_05387T0	9	11	8	11	25
CNAG_06075T0	4	5	4	5	10
CNAG_01464T0	6	7	6	7	19
CNAG_01621T0	4	7	4	7	10
CNAG_06666T0	17	21	6	21	6
CNAG_06298T0	2	4	2	4	4
CNAG_01750T0	5	6	5	6	17
CNAG_07746T0	0	3	0	3	6
CNAG_04587T0	3	4	3	4	17
CNAG_04587T1	3	5	3	5	17
CNAG_03007T0	5	6	3	6	2
CNAG_07347T0	6	7	6	7	26
CNAG_01727T0	6	7	6	7	12
CNAG_06297T0	2	3	2	3	3
CNAG_07561T0	8	9	7	9	13
